quarter,beta1,beta2,beta3,phi,xi_trend,xi_cycle,sigma_spf_5y_unemp,sigma_unemp,natural_rate,state_2_trend
2000 Q1,-0.23893960980572343,-0.017029081410203595,-0.20681271759243974,0.74999860033707,0.0249954760167379,0.39920297738042054,0.10990710725073925,0.20000019045405895,3.1821607370320892,-1.0759279138389095
2000 Q2,-0.30109323943692384,0.003998912188888094,-0.27378093401664677,0.7499999728682203,0.005000002014825758,0.36307378644169763,0.11004720077238023,0.20000100174318053,3.2293766429980413,-1.3336119167436553
2000 Q3,-0.29778079216705466,0.004476365883162181,-0.2729523139658245,0.7499998430414538,0.024999511818248044,0.35944318045500323,0.9999999966896232,0.20000000000692955,3.200560425395996,-1.3689148634616797
2000 Q4,-0.2504040878041649,0.007647885280283374,-0.23873317928519402,0.75,0.005000133934626648,0.4160699669306936,0.10000000037978515,0.20000648199145327,3.095496151578016,-1.3496014241587888
2001 Q1,-0.2879149911430271,-0.025432647173763413,-0.25241700241226633,0.7499994305573179,0.024998617304040825,0.3736020624058463,0.22459270923872782,0.20000084689905698,3.1058582432453687,-1.4993125679568595
2001 Q2,-0.294635062118149,-0.018353139050474677,-0.25803174423607567,0.75,0.024999922568941887,0.359997934386009,0.8167158794540608,0.20000000091254194,3.1319788612826436,-1.5211283151670938
2001 Q3,-0.2904938777893255,-0.009702430301224474,-0.24706550179356113,0.7499999171653571,0.02499999494674845,0.33566703392891695,0.10000002621921888,0.20000797774561085,3.209706334422096,-1.4904568689737956
2001 Q4,-0.27952747313545673,-0.003954810114832474,-0.22190947217851273,0.7499998407387667,0.005000096261705614,0.328007579593898,0.9735701387195115,0.20000009210693442,3.2846160858023845,-1.3680324169907885
2002 Q1,-0.2627296482250587,-0.003907000423496368,-0.19172643061868938,0.7499999568636591,0.005000000003804813,0.3241555783958425,0.10000009681377733,0.20000332199309984,3.316357584626578,-1.180083530829239
2002 Q2,-0.25880676779345224,-0.003505723896873483,-0.184998276598019,0.7499996771745574,0.024997324058939296,0.31861993873008265,0.9982905245043786,0.20000014855057519,3.309496020007881,-0.9235442476446899
2002 Q3,-0.2555652033538574,-0.005390757223797809,-0.17608355252096175,0.7499992710214418,0.024998217788550336,0.31684510471471206,0.9999723503254847,0.20000013053727575,3.312640975382094,-0.6542895281601859
2002 Q4,-0.24311171869130208,-0.007658459010682123,-0.13003446184805376,0.7499996077905826,0.024999891649603583,0.324436127666988,0.10000000001064303,0.2,3.3629162117057483,-0.3839476118464261
2003 Q1,-0.23856753235937736,-0.007009113873559613,-0.10247070446774922,0.7499997165193286,0.024999653133366596,0.3290658062241807,0.10250410887405992,0.2000000000137446,3.397998910610607,-0.10001062561992168
2003 Q2,-0.2396099362757219,-0.011333176566466128,-0.08994710894717481,0.7499996276904546,0.005000032094750117,0.3314643039531343,0.10025118203622042,0.20000000035574722,3.3972515037921482,0.24738756708114581
2003 Q3,-0.24567192951471456,7.446763689260903e-4,-0.12107674667228362,0.7499999712873628,0.005,0.31950086740912953,0.9999999999987632,0.2000061226621051,3.380074239795572,0.4553578819798073
2003 Q4,-0.24460676837839812,0.014816601997006743,-0.13712787826688982,0.7499998904056133,0.024998413931446983,0.31028979015211505,0.1009291657474522,0.200000000001424,3.3468150563872507,0.6073210956671555
