quarter,beta_y,psi_lop,phi,xi_trend,xi_cycle,sigma_spf,sigma_cpi,natural_rate,state_2_trend
2004 Q1,0.10721284166653926,-0.01481854127558868,0.6999920154949419,0.02493649266048454,1.0805947398834848,0.038007127420148085,0.15235837805168093,1.7737384039152786,-1.4923728176214732
2004 Q2,0.11356144214199099,-0.02532595259227982,0.699989841915097,0.0012335528505872417,1.0802667190408424,0.05125937809847282,0.17763613384735696,1.8781053592374661,0.12517971933421657
2004 Q3,0.11721061713414935,-0.023850614740162708,0.6999819504040882,0.024907680934289807,1.0566430726257514,0.07620682515545832,0.2562375781544871,1.7732210776617545,-1.0599087230827935
2004 Q4,0.12104118615283233,-0.0316018422031526,0.6999999999476066,0.024998742060454583,1.1060126046232965,0.06612950090244221,2.1691894125782773e-4,1.8477820550225825,0.4534948281875302
2005 Q1,0.10374013773845295,-0.017059756637098786,0.6999892087770263,0.024965905958626307,1.0301704505177955,0.003218807696984541,0.349015535971714,1.768185397295301,-1.026322923387488
2005 Q2,0.09956287239182485,-0.01464145870275022,0.6999801096035858,0.002343218808333193,1.0371771953656703,0.22289137983343574,0.323584953958011,1.7986799740935553,-1.134603861812737
2005 Q3,0.09919010123426254,-0.01617008920680985,0.6999968293228077,0.024991452188597954,1.0999839236462068,0.8063652240602511,3.8380919878206845e-5,1.7763323190875997,-0.7003369612038653
2005 Q4,0.09799995636445594,-0.01270610280794172,0.6999968668946721,0.024813436914421984,1.0162362977854562,3.014098602306803,0.3301824281723234,1.8008151458537942,0.21546040488424834
2006 Q1,0.08637570351116991,-0.011928855366959173,0.6999768146121168,0.024965277623393612,1.0057733515574914,0.03058557136364199,0.34142891099629014,1.7697421390576886,-0.43687802047020446
2006 Q2,0.08254837946166832,-0.01447902985829978,0.6999858338174189,0.024981191477462313,1.0865202707291586,0.03438266948763101,2.3518234109915344e-4,1.7445104749986329,-1.0371122896253475
2006 Q3,0.08007280077740217,-0.010438381059605775,0.6999776494880422,0.024918279045478917,1.0019771413992387,0.19445064560769992,0.32232359856027837,1.7107584811689565,-1.0289366636325732
2006 Q4,0.07159095969745917,-0.004489581511601836,0.6999808896497445,0.024952889325336406,1.0905621171327915,1.221380301002644,0.017048097748934055,1.6542928982268799,-2.373122314815752
2007 Q1,0.0662505760013049,-0.0027813127017037535,0.6999903272463608,0.024990103677101812,1.013291418421993,2.119732376163553e-4,0.30716747192901506,1.6380839160078329,-1.5846921643735052
2007 Q2,0.08497347908686669,0.008123370279120648,0.6999895952406963,0.002033165620351777,1.0254467187836112,0.07977111710933578,0.30321016669374606,1.7504163313446237,0.15852573269313175
2007 Q3,5.584551370710354e-6,0.010360258042058285,0.699993423319594,0.024981349947952564,1.0067115003701053,0.001940458485362868,0.33222208233308204,1.6617236999241893,-0.5101071253043159
2007 Q4,4.378569080947486e-4,-0.0016735032173313788,0.699989356749973,0.0010000339402514258,1.0312944386412357,97.68467071874328,0.35191483494427606,1.7893900542308632,1.5993034383341356
2008 Q1,0.10068452220590653,-0.014816380846303748,0.6999996669092291,0.024999998826732442,1.0072672398975955,1.1423485049389447e-6,0.36531505308024587,1.7640821698525446,1.260840193619561
2008 Q2,0.10042626843126494,-0.012476821191387252,0.6999999999999927,0.024999999999727174,1.0023242459055537,351.8548507417484,0.36080500475812405,1.774050695993321,1.164954120118475
2008 Q3,0.10180414732658791,-0.005665892420155536,0.6999886502725944,0.0249166073928179,0.9949164050717622,1.5422978412339689e-4,0.3667016229036876,1.736002075807735,0.16060174368067714
