"","quarter","gamma_pi","gamma_y","phi","rho_tp","sigma_policy","xi_i","xi_tp_bar","xi_tp_cycl","natural_rate","state_2_trend","state_3_trend","fitted_obs","fitted_spf_survey"
"1",2023 Q1,0.51972589418076,0.618730930228918,0.578584459402687,0.879908790485154,0.340736615048876,0.257033951981736,0.0337267665536408,0.12812185781658,-0.427656761375069,1.7686119148874,0.0616355681858581,0.820231636002249,1.40259072169819
"2",2023 Q2,0.691898406179534,0.648044346301442,0.668052942138168,0.826244031048547,0.379700828171294,0.244610895128406,0.0156912836980179,0.130865525179137,-0.303171553337448,1.31756279341158,-0.0198184633676368,0.831212535234428,0.994572776706496
"3",2023 Q3,0.747767616596508,0.662781007323512,0.700448301972686,0.798280683149941,0.391912111185563,0.237151347227767,0.0311035626174717,0.134206659892976,0.0152068606773831,1.02722306864515,-0.0372773760224734,1.13116129997472,1.00515255330006
"4",2023 Q4,0.770979004896871,0.66975054760181,0.714911725846659,0.789786176021506,0.394716317868468,0.232439649541823,0.064543743471879,0.137781478803212,0.08650898253065,0.833427001134593,-0.0657823684657993,1.28414204491777,0.854153615199444
"5",2024 Q1,0.785832789217995,0.673932047483798,0.728711813201932,0.78407537559566,0.397443490346079,0.227941846514869,0.037821350331469,0.140850796933625,0.181886067755028,0.672803483871951,-0.0814424539665184,1.14437139649039,0.773247097660461
"6",2024 Q2,0.785050815661428,0.679123985434435,0.731619713269337,0.784971529538589,0.39476184290521,0.226814545749216,0.0401502090053867,0.140732099415175,0.152475187969424,0.617286863718404,-0.0854263314280139,1.18909460786096,0.684335720259814
"7",2024 Q3,0.78060193506581,0.683598570820334,0.734149923279569,0.788082851060044,0.39214989981892,0.2264835899899,0.0533252923021736,0.140456361685723,0.0523841904011238,0.531940272189534,-0.108044319106865,0.904048685408678,0.476280143483792
"8",2024 Q4,0.773273013014466,0.688235280474452,0.734227107816627,0.789302624909435,0.388794068504128,0.225960247993666,0.0473352965467162,0.13968675949256,0.082427973359434,0.527450859823831,-0.0849614987455217,0.673728335722471,0.524917334437743
"9",2025 Q1,0.77386639468474,0.690140499587678,0.733389152214456,0.788661172580177,0.386209428155284,0.225125804597048,0.0587377381617223,0.13937524995535,0.102148429468225,0.578455411608818,-0.0510894777336156,0.419924101093142,0.629514363343426
"10",2025 Q2,0.761580877060287,0.691220585784378,0.732077378896815,0.790877306648502,0.382886655884067,0.225549854287195,0.0455055088378688,0.137418442643101,0.130011524472118,0.557887187524705,-0.0444097237724391,-0.00457427709917879,0.643488988224383
"11",2025 Q3,0.748855211384684,0.686971260519038,0.729259422455121,0.79370457707021,0.379368081787213,0.226453379340256,0.0634306514886449,0.134957209285826,0.165136058750332,0.558543942592521,-0.03654666046792,-0.244619724919711,0.687133340874933
"12",2025 Q4,0.729463875137126,0.67643530749261,0.725178707021924,0.798563345315276,0.376301979786788,0.22875628464704,0.033518088259976,0.132638061011423,0.244973279062233,0.519943033111768,-0.0372521250961557,-0.376147784001051,0.727664187077845
