quarter,beta1,beta2,beta3,sigma_unemp_rate,sigma_spf_5y_unemp,xi_n,natural_rate
2021 Q1,-0.03872212226369809,-0.030837334767147687,-0.05567691691917388,0.0035975701452943412,0.0018655275138811823,9.267526131328083e-4,0.030472887114411925
2021 Q2,-0.053857972148762194,-0.08655942429281824,-0.06939155989507526,0.003290606344642222,0.0016226420239540977,8.955802376601709e-4,0.02970784126448606
2021 Q3,-0.05619900828669415,-0.09231675253950018,-0.0986874212740986,0.003227059765829898,0.0015558993806146471,8.847324121727315e-4,0.028935969895653
2021 Q4,-0.05477723846715889,-0.08881366319315023,-0.10500152488652931,0.0031807330759028273,0.001499449933915783,8.763233233249536e-4,0.027472793935112774
2022 Q1,-0.044210014131185735,-0.07117681564923263,-0.08995476884542769,0.00315833985590312,0.001467266423405736,8.722744237995634e-4,0.026361766311476246
2022 Q2,-0.040308377997989725,-0.06412035293647025,-0.07909799487633792,0.0031125284482857534,0.0014108971849395708,8.675061471155194e-4,0.025483680192997994
2022 Q3,-0.06380219624500569,-0.0879304854375096,-0.09639288794131064,0.0030787507141597273,0.0013750046019525431,8.651223313478635e-4,0.025170715156615425
2022 Q4,-0.05030818366387392,-0.07084348534856875,-0.0818171823818193,0.0030400895783502225,0.001339783677707012,8.618056010156679e-4,0.024943049869021208
2023 Q1,-0.06351814935705988,-0.08468677271867822,-0.0943395123397113,0.00300133488486257,0.0013046717962343186,8.600509548111887e-4,0.0239279027418281
2023 Q2,-0.05089119978303642,-0.07291271093242362,-0.08462405873277021,0.002965559294784398,0.0012700854844729837,8.580467239918413e-4,0.02319171929740396
2023 Q3,-0.05713927767123095,-0.08132197462651679,-0.09364883314307008,0.002929337386312488,0.0012354910323124327,8.562425310773925e-4,0.023223552905329833
2023 Q4,-0.04963595632232681,-0.07341994544155572,-0.08700671302106458,0.0028944176517363674,0.0012018851779314027,8.527899320086188e-4,0.02324766064059609
2024 Q1,-0.05223807412646238,-0.07845882179643017,-0.0911515666131527,0.002859690433328528,0.0011682737687732478,8.493801438633078e-4,0.02335790989324376
2024 Q2,-0.048112953161717084,-0.0740082265871752,-0.08793393392940745,0.0028244158786615843,0.0011363596208542731,8.452746949143116e-4,0.02402183421538882
2024 Q3,-0.039331061912753276,-0.06412279658068659,-0.07923260821896294,0.0027679800741313046,0.001085840969856159,8.386045251332925e-4,0.024617524388222834
2024 Q4,-0.05453146086351807,-0.08227309605757914,-0.09464648811112968,0.0027365875720390086,0.0010593991384839647,8.379454220481024e-4,0.02625836208467541
2025 Q1,-0.04406066999009453,-0.07037791185650352,-0.08432028238975364,0.0027051479171098913,0.0010339522232060362,8.383218391807352e-4,0.027268301096882705
2025 Q2,-0.06437503187925359,-0.08931430059124981,-0.10284679272394898,0.002566188191337284,9.287010347680051e-4,8.411523778963088e-4,0.02760728191247712
2025 Q3,-0.04608782176323984,-0.06860514002433778,-0.08300630095643101,0.0025524494357292747,9.090553955119832e-4,8.414728471598236e-4,0.028205984659852617
2025 Q4,-0.06324228339640285,-0.08182589620333605,-0.08318406431822041,0.002493753876489514,8.283409845391247e-4,8.407267106648517e-4,0.028138853143921106
